Data	VVT	DIR	MedX	MedY
41016.84028	2.01	213	1.09472446	1.685727842
41016.84722	0.89	213	0.484728741	0.746416805
41016.85417	0.82	233.9	0.662551705	0.483141013
41016.86111	0.74	225.59	0.52861941	0.517843141
41016.86806	1.11	233.59	0.893317137	0.658850887
41016.875	1.34	211.59	0.701941906	1.141436621
41016.88194	1.86	246.5	1.705731738	0.741673268
41016.88889	1.41	241.3	1.236776091	0.677115131
41016.89583	1.34	242	1.183149774	0.629091894
41016.90278	1.19	229	0.8981044	0.780710244
41016.90972	1.19	230.8	0.922183942	0.75211487
41016.91667	1.49	218.19	0.92122413	1.171087573
41016.92361	1.79	238.09	1.519494206	0.946169835
41016.93056	1.56	236.69	1.303709981	0.856703149
41016.9375	1.34	237.09	1.124963567	0.728050117
41016.94444	1.19	237.09	0.999034809	0.64655197
41016.95139	1.19	239.5	1.025338701	0.603970652
41016.95833	0.74	239.5	0.637605579	0.375578389
41016.96528	1.11	238.8	0.949454329	0.57500998
41016.97222	1.11	275.8	1.104317587	-0.11217249
41016.97917	2.31	286.6	2.213725147	-0.659940129
41016.98611	2.53	258.69	2.480868525	0.496176746
41016.99306	1.49	318.69	0.98359784	-1.119211906
41017	1.26	292.6	1.163244874	-0.484212107
41017	1.26	292.6	1.163244874	-0.484212107
41017.00694	1.26	87	-1.258273214	-0.065943305
41017.01389	1.11	89.4	-1.109939138	-0.01162368
41017.02083	0.44	89.4	-0.439975875	-0.004607585
41017.02778	1.26	303.39	1.052029349	-0.693422129
41017.03472	1.34	298.5	1.177614931	-0.639392739
41017.04167	1.19	208.8	0.573286872	1.042804949
41017.04861	0.82	284.5	0.793881065	-0.205311603
41017.05556	2.75	234.3	2.233229699	1.604738331
41017.0625	4.92	15.1	-1.281682183	-4.750125344
41017.06944	2.46	218.9	1.544789122	1.914478145
41017.07639	1.94	202.19	0.732697621	1.796316842
41017.08333	3.58	347.69	0.763259257	-3.497689996
41017.09028	4.32	267.1	4.314467623	0.218561501
41017.09722	5.29	272	5.286777475	-0.184618338
41017.10417	3.2	290.8	2.991442164	-1.13634228
41017.11111	3.2	280.69	3.144464597	-0.593584366
41017.11806	2.38	294.69	2.162423007	-0.994146237
41017.125	1.64	326.1	0.914701979	-1.361220148
41017.13194	1.19	280.69	1.169347772	-0.220739186
41017.13889	2.68	213.3	1.471381152	2.239963728
41017.14583	4.62	235.69	3.816119668	2.604156424
41017.15278	4.99	220.3	3.227481	3.805714965
41017.15972	6.41	254.9	6.188679564	1.6698339
41017.16667	4.77	249.3	4.462068027	1.686075005
41017.17361	4.77	228.69	3.582980396	3.148833352
41017.18056	3.58	233.9	2.892603784	2.109322959
41017.1875	2.75	314.19	1.971838756	-1.916859911
41017.19444	3.43	259.8	3.375790935	0.607400659
41017.20139	3.5	238.09	2.971078057	1.850052751
41017.20833	3.73	263.3	3.704526523	0.435181849
41017.21528	3.8	277.89	3.76402706	-0.521632336
41017.22222	3.8	269.89	3.799992997	0.007295472
41017.22917	2.31	200.09	0.793475267	2.169446243
41017.23611	2.75	251.69	2.610769318	0.863934932
41017.24306	2.16	244.8	1.954426433	0.91968327
41017.25	2.23	240.19	1.934923505	1.108589658
41017.25694	2.83	291.89	2.625960788	-1.055097124
41017.26389	3.43	265.3	3.418466237	0.281049085
41017.27083	3.73	277.19	3.700669372	-0.46684708
41017.27778	4.02	269.5	4.019846931	0.035080673
41017.28472	4.25	275.8	4.228243013	-0.429489263
41017.29167	4.17	226.3	3.014772998	2.880979654
41017.29861	4.7	267.39	4.695124395	0.214025501
41017.30556	6.26	261.5	6.191239305	0.925286914
41017.3125	5.89	263.89	5.856541162	0.626917549
41017.31944	6.41	268.1	6.406475884	0.212524693
41017.32639	6.19	239.19	5.316408491	3.17047327
41017.33333	4.92	224.9	3.472888128	3.485032002
41017.34028	5.74	230.4	4.422746014	3.658813701
41017.34722	6.86	250	6.446291379	2.346258183
41017.35417	7.75	235	6.348428343	4.445217382
41017.36111	7.98	230.4	6.148695677	5.086643438
41017.36806	7.6	260.8	7.502235615	1.215097026
41017.375	6.78	275.1	6.753158423	-0.602703333
41017.38194	6.63	260.5	6.539073538	1.094265627
41017.38889	6.19	265.3	6.169185424	0.507199368
41017.39583	7.16	255.9	6.944283629	1.744283484
41017.40278	7.75	263.6	7.701701373	0.863884225
41017.40972	8.06	269.19	8.05919458	0.11394177
41017.41667	6.93	279.69	6.831128727	-1.166439161
41017.42361	5.07	291.5	4.71721707	-1.858161219
41017.43056	6.04	265.69	6.022919074	0.453922715
41017.4375	6.26	271.6	6.25755932	-0.174789458
41017.44444	4.77	303.69	3.968883022	-2.645915258
41017.45139	5.44	256.6	5.291900777	1.260708595
41017.45833	5.89	283.8	5.719980909	-1.404962065
41017.46528	4.84	300.6	4.165991411	-2.463760452
41017.47222	4.7	280.69	4.618432377	-0.871827037
41017.47917	4.84	264.6	4.818519909	0.455484236
41017.48611	6.26	283.8	6.079300592	-1.493219444
41017.49306	5.89	269.19	5.889411424	0.08326514
41017.5	6.63	290.8	6.197894235	-2.354359161
